year,name,index,other.method.index
2012,BLASR,BWT-FM,0
2009,Bowtie,BWT-FM,0
2012,Bowtie2,BWT-FM,0
2012,BRAT-BW,BWT-FM,0
2010,BS-Seeker,BWT-FM,Bowtie
2013,BS-Seeker2,BWT-FM,Bowtie2
2009,BWA,BWT-FM,0
2013,BWA-MEM,BWT-FM,0
2014,BWA-PSSM,BWT-FM,0
2010,BWA-SW,BWT-FM,0
2008,BWT-SW,BWT-FM,0
2013,CRAC,BWT-FM,0
2014,CUSHAW3,BWT-FM,0
2017,DART,BWT-FM,0
2012,GEM,BWT-FM,0
2014,JAGuaR,BWT-FM,BWA
2010,MapSplice,BWT-FM,Bowtie
2009,SOAP2,BWT-FM,0
2011,SOAPSplice,BWT-FM,0
2009,TopHat,BWT-FM,Bowtie
2013,TopHat 2,BWT-FM,Bowtie2
2018,lordFAST,BWT-FM,0
2012,Batmis,BWT-ST,0
2009,BFAST,hash.table,0
2016,NanoBLASTer:,hash.table,0
2002,Blat,hash.table,0
2009,BRAT,hash.table,0
2009,BSMAP,hash.table,0
2009,CloudBurst,hash.table,0
2011,DynMap,hash.table,0
2016,ERNE,hash.table,0
2005,Exonerate,hash.table,0
2009,GenomeMapper,hash.table,0
2005,GMAP,hash.table,0
2009,GNUMAP,hash.table,0
2010,GSNAP,hash.table,0
2014,Hobbes2,hash.table,0
2008,MAQ,hash.table,0
2009,MOM,hash.table,0
2014,MOSAIK,hash.table,0
2009,mrFAST,hash.table,0
2010,mrsFAST,hash.table,0
2014,mrsFAST-Ultra,hash.table,0
2013,NextGenMap,hash.table,0
2012,OSA,hash.table,0
2009,PASS,hash.table,0
2012,Passion,hash.table,0
2009,PerM,hash.table,0
2009,RazerS,hash.table,0
2012,RazerS3,hash.table,0
2016,rHAT,hash.table,0
2008,RMAP,hash.table,0
2012,SeqAlto,hash.table,0
2010,MicroRazerS,hash.table,0
2008,SeqMap,hash.table,0
2009,SHRiMP,hash.table,0
2011,SHRiMP2,hash.table,0
2009,Slider,hash.table,0
2010,Slider II,hash.table,0
2010,Smalt,hash.table,0
2011,SNAP,hash.table,0
2008,SOAP,hash.table,0
2008,SOCS,hash.table,0
2012,SplazerS,hash.table,0
2013,SRmapper,hash.table,0
2001,SSAHA,hash.table,0
2011,Stampy,hash.table,0
2013,Subread/Subjunc,hash.table,0
2010,Supersplat,hash.table,0
2012,WHAM,hash.table,0
2012,YAHA,hash.table,0
2008,ZOOM,hash.table,0
2018,minimap2,hash.table,0
2016,minialign,hash.table,0
2016,GraphMap,hash.table,0
2003,BLASTZ?,hash.table,0
2018,NGMLR,hash.table,0
2016,NanoBLASTer,hash.table,0
2018,Magic-BLAST,hash.table,0
2010,SpliceMap,hash.table,0
2001,Bismark,NA,0
2015,ContextMap 2,NA,0
2015,HISAT2,BWT-FM,0
2013,STAR,suffix.array,0
2011,LAST,suffix.array,0
2008,QPALMA,suffix.array,0
2009,segemehl,suffix.array,0
2010,VMATCH,suffix.array,0
2013,Masai,suffix.array,0
2014,hpg-Aligner,suffix.array,0
